id,instant,move,turn_id,player_pseudo,accuracy,points
2905,2024-10-18T07:48:56.147Z,d2d4,10502,Jabez Charismatique,0.9895842,137
2907,2024-10-18T07:50:29.097Z,g2g3,10502,Belladonna Sardonique,0.9538093,153
2908,2024-10-18T07:51:40.532Z,e2e4,10502,Bram Lugubre,0.9655965,173
2910,2024-10-18T07:53:33.679Z,d2d4,10502,Thalia Spectrale,0.9895842,123
2912,2024-10-18T07:54:50.299Z,e2e4,10502,Malachi Toxique,0.9655965,106
2919,2024-10-18T07:55:32.817Z,b2b4,10502,Aradia Lugubre,0.75790834,174
2920,2024-10-18T07:55:36.204Z,d2d4,10502,Berenice Ténébreuse,0.9895842,119
2923,2024-10-18T07:55:53.097Z,e2e3,10502,Rowena Brillante,0.9499107,227
2924,2024-10-18T07:55:59.578Z,e2e4,10502,Cyprian Intraitable,0.9655965,125
2925,2024-10-18T07:56:02.281Z,d7d5,10503,Cyprian Halluciné,1,230
2927,2024-10-18T07:56:28.078Z,b8c6,10503,Damien Maléfique,0.85823584,197
2929,2024-10-18T07:56:42.939Z,d7d5,10503,Archibald Anxieux,1,170
2930,2024-10-18T07:56:55.091Z,d7d5,10503,Persephone Prédatrice,1,138
2932,2024-10-18T07:59:05.968Z,g8f6,10503,Isolde Insidieuse,0.9617159,246
2936,2024-10-18T08:01:26.901Z,b7b6,10503,Reginald Dérangé,0.8176165,215
2937,2024-10-18T08:02:00.527Z,d7d5,10503,Magnus Secret,1,125
2939,2024-10-18T08:02:29.814Z,d7d5,10503,Lazarus Sardonique,1,102
2940,2024-10-18T08:02:30.533Z,d7d5,10503,Valerian Instable,1,84
2941,2024-10-18T08:02:45.531Z,d7d5,10503,Fabian Monstrueux,1,76
2942,2024-10-18T08:03:04.765Z,b8c6,10503,Ludovic Erratique,0.85823584,172
2943,2024-10-18T08:03:49.327Z,c1f4,10504,Jabez Charismatique,0.919215,248
2945,2024-10-18T08:03:57.250Z,b1c3,10504,Cyprian Intraitable,0.8822487,238
2947,2024-10-18T08:04:26.385Z,b1c3,10504,Ophelia Machiavélique,0.8822487,183
2949,2024-10-18T08:04:50.169Z,c2c4,10504,Bram Lugubre,1,277
2950,2024-10-18T08:04:51.857Z,b1c3,10504,Zephyra Impitoyable,0.8822487,147
2951,2024-10-18T08:05:10.479Z,b1c3,10504,Thalia Morbide,0.8822487,122
2954,2024-10-18T08:05:32.788Z,b2b4,10504,Jasper Protecteur,0.7041876,199
2955,2024-10-18T08:05:38.745Z,b1c3,10504,Thaddeus Malfaisant,0.8822487,107
2956,2024-10-18T08:05:45.602Z,a2a3,10504,Aradia Lugubre,0.9079688,257
2957,2024-10-18T08:07:01.293Z,b1c3,10504,Malachi Toxique,0.8822487,91
2958,2024-10-18T08:07:09.023Z,c2c4,10504,Thalia Spectrale,1,214
2959,2024-10-18T08:08:10.042Z,c1g5,10504,Belladonna Sardonique,0.8643186,244
2960,2024-10-18T08:08:29.393Z,c2c4,10504,Berenice Ténébreuse,1,173
2961,2024-10-18T08:09:04.781Z,e2e3,10504,Ravenna Protectrice,0.9695245,280
2962,2024-10-18T08:11:02.261Z,g8f6,10505,Cyprian Halluciné,1,294
2963,2024-10-18T08:11:04.398Z,g8f6,10505,Percival Terrifiant,1,225
2964,2024-10-18T08:11:14.279Z,e7e6,10505,Lazarus Sardonique,0.8786413,258
2965,2024-10-18T08:11:16.304Z,g8f6,10505,Magnus Secret,1,184
2967,2024-10-18T08:11:34.169Z,g8f6,10505,Fabian Monstrueux,1,155
2968,2024-10-18T08:11:44.534Z,c7c6,10505,Evander Instable,0.8296997,244
2969,2024-10-18T08:12:27.430Z,e7e6,10505,Endora Sombre,0.8786413,202
2970,2024-10-18T08:12:27.928Z,b8a6,10505,Ludovic Erratique,0.75233,225
2972,2024-10-18T08:13:12.715Z,c7c6,10505,Isolde Insidieuse,0.8296997,191
2973,2024-10-18T08:14:13.367Z,b7b6,10505,Calypso Fourbe,0.80959934,246
2975,2024-10-18T08:15:12.760Z,e7e6,10505,Hyacinth Putréfiée,0.8786413,170
2977,2024-10-18T08:18:25.678Z,c7c5,10505,Ianthe Anormale,0.9537026,290
2978,2024-10-18T08:18:39.509Z,c1f4,10506,Thalia Spectrale,1,309
2980,2024-10-18T08:19:01.013Z,g1f3,10506,Jabez Charismatique,0.95374435,294
2983,2024-10-18T08:19:28.662Z,e2e3,10506,Cyprian Intraitable,0.91177785,281
2985,2024-10-18T08:19:32.191Z,c1g5,10506,Belladonna Sardonique,1,309
2987,2024-10-18T08:20:33.395Z,g1f3,10506,Ravenna Protectrice,0.95374435,190
2988,2024-10-18T08:20:51.990Z,c1f4,10506,Zephyra Impitoyable,1,239
2990,2024-10-18T08:21:01.368Z,g1f3,10506,Valencia Secrète,0.95374435,190
2991,2024-10-18T08:22:22.012Z,g1f3,10506,Bram Lugubre,0.95374435,162
2992,2024-10-18T08:25:55.136Z,g1f3,10506,Malachi Toxique,0.95374435,141
2993,2024-10-18T08:26:03.322Z,c8f5,10507,Magnus Secret,0.93056774,287
2994,2024-10-18T08:26:08.445Z,c7c5,10507,Cyprian Halluciné,0.97348285,300
2995,2024-10-18T08:26:32.213Z,c8f5,10507,Percival Terrifiant,0.93056774,223
2997,2024-10-18T08:27:43.423Z,c8f5,10507,Ludovic Erratique,0.93056774,185
2998,2024-10-18T08:28:17.779Z,c8g4,10507,Isolde Insidieuse,0.7611288,238
3000,2024-10-18T08:28:47.354Z,e7e6,10507,Lazarus Sardonique,0.98148733,307
3001,2024-10-18T08:30:10.779Z,b8c6,10507,Thaddeus Charismatique,0.85022396,207
3002,2024-10-18T08:30:56.024Z,c8f5,10507,Lysithea Inquiétante,0.93056774,166
3004,2024-10-18T08:31:26.206Z,b8c6,10507,Ianthe Anormale,0.85022396,211
3005,2024-10-18T08:33:40.197Z,c1f4,10508,Malachi Toxique,1,321
3006,2024-10-18T08:33:44.811Z,c1f4,10508,Jabez Charismatique,1,252
3007,2024-10-18T08:33:55.485Z,c1f4,10508,Thalia Spectrale,1,212
3009,2024-10-18T08:34:06.605Z,e2e3,10508,Zephyra Impitoyable,0.8715933,280
3010,2024-10-18T08:35:02.390Z,c1g5,10508,Bram Lugubre,0.94593716,304
3014,2024-10-18T08:36:20.135Z,e2e3,10508,Ravenna Protectrice,0.8715933,226
3015,2024-10-18T08:36:24.693Z,c1f4,10508,Belladonna Sardonique,1,190
3016,2024-10-18T08:36:25.686Z,e2e3,10508,Valencia Secrète,0.8715933,191
3019,2024-10-18T08:37:32.975Z,e2e4,10508,Lenore Démente,0.70289177,234
3020,2024-10-18T08:40:21.193Z,f3e5,10508,Cyprian Intraitable,0.9154513,305
3021,2024-10-18T08:41:13.341Z,e7e6,10509,Magnus Secret,0.965509,321
3022,2024-10-18T08:41:17.016Z,e7e6,10509,Cyprian Halluciné,0.965509,254
3023,2024-10-18T08:41:17.580Z,e7e6,10509,Isolde Insidieuse,0.965509,215
3024,2024-10-18T08:41:18.804Z,b8c6,10509,Xanthe Féroce,0.92676497,308
3025,2024-10-18T08:41:19.906Z,f6h5,10509,Valerian Instable,0.93438625,311
3026,2024-10-18T08:41:21.270Z,b8c6,10509,Percival Terrifiant,0.92676497,244
3027,2024-10-18T08:41:49.182Z,b8c6,10509,Ianthe Anormale,0.92676497,207
3030,2024-10-18T08:43:02.266Z,e7e6,10509,Morgause Brillante,0.965509,187
3031,2024-10-18T08:43:24.304Z,h7h6,10509,Thaddeus Charismatique,0.99359065,331
3032,2024-10-18T08:43:50.567Z,b8c6,10509,Ludovic Erratique,0.92676497,180
3034,2024-10-18T08:44:07.070Z,e7e6,10509,Lysithea Inquiétante,0.965509,166
3035,2024-10-18T08:45:39.647Z,b8c6,10509,Lazarus Sardonique,0.92676497,162
3036,2024-10-18T08:45:47.072Z,f6e4,10509,Thalassa Démoniaque,0.8231734,277
3037,2024-10-18T08:48:59.088Z,e2e3,10510,Bram Lugubre,0.9734872,327
3038,2024-10-18T08:49:00.458Z,c3b5,10510,Zephyra Impitoyable,0.90052396,303
3039,2024-10-18T08:49:11.081Z,e2e3,10510,Jabez Charismatique,0.9734872,260
3040,2024-10-18T08:49:32.302Z,e2e3,10510,Malachi Toxique,0.9734872,220
3041,2024-10-18T08:49:42.334Z,f4c7,10510,Belladonna Sardonique,0.16870314,56
3042,2024-10-18T08:49:46.380Z,e2e3,10510,Thalia Spectrale,0.9734872,192
3043,2024-10-18T08:50:58.646Z,e2e3,10510,Lenore Démente,0.9734872,174
3046,2024-10-18T08:51:52.923Z,f4h6,10510,Melusine Prémonitoire,0.19348936,65
3047,2024-10-18T08:55:04.640Z,d1d2,10510,Valencia Secrète,0.8643035,293
3048,2024-10-18T08:55:22.006Z,f3e5,10510,Cyprian Intraitable,0.90794617,308
3049,2024-10-18T08:56:03.591Z,e7e6,10511,Cyprian Halluciné,1,340
3050,2024-10-18T08:56:22.703Z,e7e6,10511,Magnus Secret,1,270
3051,2024-10-18T08:56:28.532Z,e7e6,10511,Thaddeus Charismatique,1,230
3052,2024-10-18T08:56:32.486Z,f6h5,10511,Valerian Instable,0.93067926,316
3053,2024-10-18T08:56:36.978Z,e7e6,10511,Isolde Insidieuse,1,201
3055,2024-10-18T08:56:40.772Z,e7e6,10511,Percival Terrifiant,1,160
3057,2024-10-18T08:56:49.965Z,a7a6,10511,Ludovic Erratique,0.96555674,328
3058,2024-10-18T08:56:52.624Z,a7a6,10511,Xanthe Féroce,0.96555674,261
3059,2024-10-18T08:57:06.062Z,e7e6,10511,Lazarus Sardonique,1,160
3062,2024-10-18T08:57:30.494Z,f6h5,10511,Morgause Brillante,0.93067926,252
3064,2024-10-18T08:58:05.739Z,e7e6,10511,Ianthe Anormale,1,145
3065,2024-10-18T09:00:01.835Z,e7e6,10511,Fabian Monstrueux,1,135
3067,2024-10-18T09:00:20.327Z,a7a6,10511,Lysithea Inquiétante,0.96555674,225
3068,2024-10-18T09:00:24.986Z,f6h5,10511,Quirinus Cryptique,0.93067926,217
3069,2024-10-18T09:00:55.674Z,f6h5,10511,Persephone Prédatrice,0.93067926,190
3070,2024-10-18T09:03:41.324Z,f1b5,10512,Thalia Spectrale,1,349
3071,2024-10-18T09:03:45.156Z,f1b5,10512,Jabez Charismatique,1,280
3072,2024-10-18T09:04:11.328Z,g2g4,10512,Thalassa Malfaisante,0.52064353,182
3074,2024-10-18T09:05:36.131Z,f1b5,10512,Lenore Démente,1,239
3075,2024-10-18T09:05:45.483Z,f3h4,10512,Belladonna Sardonique,0.8822123,311
3078,2024-10-18T09:06:25.400Z,f3e5,10512,Hadrian Torturé,0.8678531,306
3079,2024-10-18T09:06:50.343Z,f1b5,10512,Cyprian Intraitable,1,214
3080,2024-10-18T09:07:57.947Z,f1d3,10512,Bram Lugubre,1,355
3081,2024-10-18T09:08:04.007Z,f1d3,10512,Valencia Secrète,1,286
3082,2024-10-18T09:08:18.712Z,f1e2,10512,Isabeau Inflexible,0.92293745,328
3083,2024-10-18T09:09:36.948Z,c3b5,10512,Zephyra Impitoyable,0.89681,318
3084,2024-10-18T09:11:02.008Z,f6d7,10513,Cyprian Halluciné,1,352
3085,2024-10-18T09:11:07.858Z,f8e7,10513,Magnus Secret,0.7817984,275
3087,2024-10-18T09:12:13.774Z,f6h5,10513,Morgause Brillante,0.53952634,190
3089,2024-10-18T09:14:30.295Z,f8d6,10513,Isolde Insidieuse,0.93838924,330
3091,2024-10-18T09:15:23.288Z,d8d7,10513,Ianthe Anormale,0.3702816,105
3092,2024-10-18T09:16:00.697Z,a7a6,10513,Lysithea Inquiétante,0.8791668,315
3097,2024-10-18T09:16:32.502Z,d8d7,10513,Lazarus Sardonique,0.3702816,107
3098,2024-10-18T09:17:22.103Z,f8d6,10513,Fabian Monstrueux,0.93838924,271
3101,2024-10-18T09:18:04.540Z,f8b4,10513,Uriah Inflexible,0.9345679,334
3102,2024-10-18T09:18:18.202Z,f8b4,10513,Xanthe Féroce,0.9345679,270
3103,2024-10-18T09:18:25.456Z,a7a6,10513,Clarimond Maléfique,0.8791668,254
3104,2024-10-18T09:18:39.685Z,b5c6,10514,Thalia Spectrale,0.9737421,351
3105,2024-10-18T09:18:46.956Z,b5a4,10514,Cyprian Intraitable,0.7867948,286
3106,2024-10-18T09:18:50.619Z,b5c6,10514,Isabeau Inflexible,0.9737421,286
3107,2024-10-18T09:19:06.464Z,b5c6,10514,Jabez Charismatique,0.9737421,247
3109,2024-10-18T09:19:14.322Z,a2a4,10514,Basil Implacable,0.24328057,88
3110,2024-10-18T09:19:18.945Z,a2a4,10514,Lenore Démente,0.24328057,71
3111,2024-10-18T09:19:50.789Z,f4g5,10514,Zephyra Impitoyable,0.1504066,55
3112,2024-10-18T09:19:58.216Z,a2a4,10514,Rosamund Égoïste,0.24328057,62
3113,2024-10-18T09:20:16.288Z,h2h3,10514,Gaius Sardonique,0.16523652,60
3114,2024-10-18T09:20:42.314Z,b5d3,10514,Bram Lugubre,0.80979884,296
3116,2024-10-18T09:24:25.507Z,b5c6,10514,Serafina Machiavélique,0.9737421,224
3117,2024-10-18T09:26:01.948Z,b7c6,10515,Cyprian Halluciné,1,366
3118,2024-10-18T09:26:07.069Z,b7c6,10515,Lysithea Inquiétante,1,297
3119,2024-10-18T09:26:09.007Z,b7c6,10515,Hyacinth Putréfiée,1,256
3120,2024-10-18T09:26:14.495Z,b7c6,10515,Magnus Secret,1,227
3121,2024-10-18T09:26:15.811Z,f6d7,10515,Lazarus Sardonique,0.21486878,78
3124,2024-10-18T09:26:23.078Z,b7c6,10515,Fabian Monstrueux,1,187
3125,2024-10-18T09:26:36.207Z,b7c6,10515,Tempest Vulnérable,1,171
3126,2024-10-18T09:27:22.775Z,b7c6,10515,Uriah Inflexible,1,158
3127,2024-10-18T09:31:24.492Z,b7c6,10515,Xanthe Féroce,1,146
3128,2024-10-18T09:33:28.071Z,b7c6,10515,Ianthe Anormale,1,146
3129,2024-10-18T09:33:32.114Z,f3e5,10516,Jabez Charismatique,1,368
3130,2024-10-18T09:33:40.725Z,f3e5,10516,Serafina Machiavélique,1,299
3131,2024-10-18T09:33:44.880Z,f3e5,10516,Thalia Spectrale,1,259
3132,2024-10-18T09:33:51.645Z,f3e5,10516,Isabeau Inflexible,1,230
3133,2024-10-18T09:34:10.693Z,f3e5,10516,Cyprian Intraitable,1,207
3137,2024-10-18T09:38:41.449Z,b2b4,10516,Belladonna Sardonique,0.21140486,78
3138,2024-10-18T09:39:00.306Z,,10516,Caspian Brumeux,0,0
3139,2024-10-18T09:40:52.662Z,f3e5,10516,Zephyra Impitoyable,1,192
3140,2024-10-18T09:40:59.540Z,f3e5,10516,Bram Lugubre,1,176
3141,2024-10-18T09:41:09.726Z,c6c5,10517,Cyprian Halluciné,0.8494472,313
3142,2024-10-18T09:41:22.879Z,f8d6,10517,Clarimond Maléfique,0.90564,334
3143,2024-10-18T09:41:26.410Z,c6c5,10517,Magnus Secret,0.8494472,254
3144,2024-10-18T09:41:42.110Z,f8b4,10517,Uriah Inflexible,0.9277705,342
3145,2024-10-18T09:41:44.035Z,f8d6,10517,Lazarus Sardonique,0.90564,271
3146,2024-10-18T09:42:45.919Z,f8d6,10517,Lysithea Inquiétante,0.90564,234
3151,2024-10-18T09:43:23.131Z,f8d6,10517,Reginald Dérangé,0.90564,188
3155,2024-10-18T09:43:56.674Z,c6c5,10517,Isolde Insidieuse,0.8494472,220
3157,2024-10-18T09:45:52.223Z,f6h5,10517,Tempest Vulnérable,0.22195941,81
3159,2024-10-18T09:47:38.836Z,d8e7,10517,Ianthe Anormale,0.6252353,230
3160,2024-10-18T09:48:42.850Z,e5c6,10518,Bram Lugubre,0.90196353,334
3161,2024-10-18T09:48:45.675Z,g2g4,10518,Thalia Spectrale,0.8837807,328
3162,2024-10-18T09:49:14.333Z,d1h5,10518,Zephyra Impitoyable,0.102810994,38
3163,2024-10-18T09:49:18.690Z,e1g1,10518,Jabez Charismatique,0.8659284,323
3164,2024-10-18T09:49:25.755Z,e5c6,10518,Isabeau Inflexible,0.90196353,274
3165,2024-10-18T09:49:54.288Z,b2b4,10518,Belladonna Sardonique,0.24577871,91
3166,2024-10-18T09:50:59.728Z,e5c6,10518,Lenore Démente,0.90196353,238
3167,2024-10-18T09:56:02.574Z,d8d7,10519,Cyprian Halluciné,0.80023384,299
3168,2024-10-18T09:56:24.886Z,d8d7,10519,Magnus Secret,0.80023384,243
3169,2024-10-18T09:56:29.608Z,d8d7,10519,Hyacinth Putréfiée,0.80023384,211
3171,2024-10-18T09:56:49.892Z,d8d7,10519,Ianthe Anormale,0.80023384,188
3172,2024-10-18T09:57:46.066Z,f5g4,10519,Clarimond Maléfique,0.30372158,113
3173,2024-10-18T09:58:18.255Z,d8d7,10519,Tempest Vulnérable,0.80023384,170
3174,2024-10-18T09:58:41.603Z,d8d7,10519,Uriah Inflexible,0.80023384,155
3175,2024-10-18T09:59:25.752Z,d8d7,10519,Lysithea Inquiétante,0.80023384,143
3176,2024-10-18T10:01:46.806Z,d8d7,10519,Lazarus Sardonique,0.80023384,132
3177,2024-10-18T10:03:32.231Z,c6e5,10520,Jabez Charismatique,0.9517961,355
3178,2024-10-18T10:03:34.049Z,c6e5,10520,Bram Lugubre,0.9517961,289
3179,2024-10-18T10:03:35.237Z,c6e5,10520,Isabeau Inflexible,0.9517961,251
3180,2024-10-18T10:03:39.937Z,c6e5,10520,Thalia Spectrale,0.9517961,223
3181,2024-10-18T10:04:03.839Z,c6e5,10520,Cyprian Intraitable,0.9517961,202
3182,2024-10-18T10:04:05.580Z,d1h5,10520,Zephyra Impitoyable,0.088132456,32
3183,2024-10-18T10:04:17.271Z,c6b4,10520,Belladonna Sardonique,0.1194967,44
3184,2024-10-18T10:04:26.037Z,c6e5,10520,Thaddeus Malfaisant,0.9517961,187
3186,2024-10-18T10:08:10.707Z,g2g4,10520,Ravenna Protectrice,0.25715226,96
3187,2024-10-18T10:11:02.719Z,d6e5,10521,Cyprian Halluciné,0.8056191,301
3188,2024-10-18T10:12:07.129Z,d6e5,10521,Magnus Secret,0.8056191,245
3194,2024-10-18T10:14:08.623Z,d6e5,10521,Lysithea Inquiétante,0.8056191,189
3195,2024-10-18T10:14:41.835Z,d6b4,10521,Uriah Inflexible,0.27652353,103
3196,2024-10-18T10:15:52.026Z,f5g4,10521,Clarimond Maléfique,0.26189497,97
3197,2024-10-18T10:16:36.699Z,f6g4,10521,Hyacinth Putréfiée,0.27652353,104
